nbformat	5.0.7	BSD-3-Clause	"2001-2015 IPython Development Team, 2015- Jupyter Development Team"		https://github.com/jupyter/nbformat/blob/master/COPYING.md
psutil	5.7.2	BSD-3-Clause	2009	"Jay Loden, Dave Daeschler, Giampaolo Rodola"	https://github.com/giampaolo/psutil/blob/master/LICENSE
py-cpuinfo	7.0.0	MIT	2014	Matthew Brennan Jones	https://github.com/workhorsy/py-cpuinfo/blob/master/LICENSE
pytest	6.0.1	MIT	2004	Holger Krekel and others	https://github.com/pytest-dev/pytest/blob/master/LICENSE
wheel	0.35.1	MIT	2012	Daniel Holth and contributors.	https://github.com/pypa/wheel/blob/master/LICENSE.txt
sphinx	3.2.1	BSD-2-Clause	2007	the Sphinx team (see AUTHORS file).	https://github.com/sphinx-doc/sphinx/blob/3.x/LICENSE
sphinx_rtd_theme	0.5.0	MIT	2013	"Dave Snider, Read the Docs, Inc. & contributors"	https://github.com/readthedocs/sphinx_rtd_theme/blob/master/LICENSE
tensorflow	2.3.0	Apache_License_2.0	2019	The TensorFlow Authors	https://github.com/tensorflow/tensorflow/blob/master/LICENSE
jupyterlab	2.2.8	Apache_License_2.0	2015	Project Jupyter Contributors	https://github.com/jupyterlab/jupyterlab/blob/master/LICENSE
theia	1	Eclipse_Public_License_2.0	2017	"Eclipse Foundation, Inc."	https://github.com/eclipse-theia/theia/blob/master/LICENSE
noto-cjk	2.001	SIL_Open_Font_License_1.1	2015	Google Inc.	https://github.com/googlefonts/noto-cjk/blob/master/LICENSE
Nginx	1.19.3	BSD-2-Clause	"2002-2019 Igor Sysoev, 2011-2019 Nginx, Inc."		https://github.com/nginx/nginx/blob/master/docs/text/LICENSE
