,class,label,count,persent
0,0,0,135,2.25
1,0,1,882,14.7
2,0,2,271,4.516666666666667
3,0,3,166,2.7666666666666666
4,0,4,115,1.9166666666666667
5,0,5,160,2.6666666666666665
6,0,6,86,1.4333333333333333
7,0,7,210,3.5
8,0,8,244,4.066666666666666
9,0,9,213,3.55
10,0,10,220,3.6666666666666665
11,0,11,68,1.1333333333333333
12,0,12,214,3.566666666666667
13,0,13,187,3.1166666666666667
14,0,14,281,4.683333333333334
15,0,15,199,3.316666666666667
16,0,16,291,4.85
17,0,17,113,1.8833333333333333
18,0,18,46,0.7666666666666667
19,0,19,258,4.3
20,0,20,413,6.883333333333334
21,0,21,180,3.0
22,0,22,164,2.7333333333333334
23,0,23,185,3.0833333333333335
24,0,24,47,0.7833333333333333
25,0,25,196,3.2666666666666666
26,0,26,165,2.75
27,0,27,215,3.5833333333333335
28,0,28,76,1.2666666666666666
