,class,label,count,persent
0,4,0,93,1.55
1,4,1,166,2.7666666666666666
2,4,2,188,3.1333333333333333
3,4,3,142,2.3666666666666667
4,4,4,164,2.7333333333333334
5,4,5,222,3.7
6,4,6,231,3.85
7,4,7,271,4.516666666666667
8,4,8,171,2.85
9,4,9,183,3.05
10,4,10,236,3.933333333333333
11,4,11,229,3.816666666666667
12,4,12,141,2.35
13,4,13,134,2.2333333333333334
14,4,14,237,3.95
15,4,15,215,3.5833333333333335
16,4,16,72,1.2
17,4,17,247,4.116666666666666
18,4,18,162,2.7
19,4,19,274,4.566666666666666
20,4,20,218,3.6333333333333333
21,4,21,200,3.3333333333333335
22,4,22,175,2.9166666666666665
23,4,23,119,1.9833333333333334
24,4,24,88,1.4666666666666666
25,4,25,125,2.0833333333333335
26,4,26,205,3.4166666666666665
27,4,27,116,1.9333333333333333
28,4,28,146,2.433333333333333
29,4,29,157,2.6166666666666667
30,4,30,118,1.9666666666666666
31,4,31,158,2.6333333333333333
32,4,32,106,1.7666666666666666
33,4,33,209,3.4833333333333334
34,4,34,82,1.3666666666666667
