,class,label,count,persent
0,2,0,231,3.85
1,2,1,132,2.2
2,2,2,138,2.3
3,2,3,186,3.1
4,2,4,355,5.916666666666667
5,2,5,188,3.1333333333333333
6,2,6,178,2.966666666666667
7,2,7,153,2.55
8,2,8,180,3.0
9,2,9,182,3.033333333333333
10,2,10,173,2.8833333333333333
11,2,11,175,2.9166666666666665
12,2,12,207,3.45
13,2,13,144,2.4
14,2,14,75,1.25
15,2,15,316,5.266666666666667
16,2,16,160,2.6666666666666665
17,2,17,151,2.5166666666666666
18,2,18,218,3.6333333333333333
19,2,19,481,8.016666666666667
20,2,20,161,2.683333333333333
21,2,21,120,2.0
22,2,22,280,4.666666666666667
23,2,23,121,2.0166666666666666
24,2,24,147,2.45
25,2,25,178,2.966666666666667
26,2,26,144,2.4
27,2,27,228,3.8
28,2,28,128,2.1333333333333333
29,2,29,103,1.7166666666666666
30,2,30,180,3.0
31,2,31,187,3.1166666666666667
